,ID,Year_Of_Birth,Income,Registration_Time,Recency,Liquor,Vegetables,Pork,Seafood,Candy,Jewellery,Num_Deals_Purchases,Num_Web_Purchases,Num_Catalog_Purchases,Num_Store_Purchases,Num_Web_Visits_Month,Promo_30,Promo_40,Promo_50,Promo_10,Promo_20,Complain,Gender,Total_Purchase,Payment_Method,Phone,Total_Expense,Age,Marital_Status,Children,Family_Size,Is_Parent,Academic_Level,Customer_For,Promo_Response
10,5358,1983,39922.0,2022-02-14,30,30.0,14.0,59.0,19.0,1.0,36.0,2,3,0,4,8,0,0,0,0,0,0,Male,9,Mobile,(+84) 409822440.0,159.0,41,Relationship,1,3,1,Graduate,43200000000000000,0
11,6761,1984,70647.0,2021-09-21,65,562.0,87.0,171.0,25.0,123.0,114.0,2,4,7,13,2,0,0,0,0,0,0,Other,26,Cash,(+84) 584120378.0,1082.0,40,Single,1,2,1,Graduate,55814400000000000,0
12,3466,1984,64857.0,2021-11-23,78,557.0,16.0,717.0,210.0,0.0,43.0,1,7,5,10,4,0,0,0,0,0,0,Male,23,Mobile,(+84) 011850835.0,1543.0,40,Single,0,1,0,Post_Graduate,50371200000000000,0
13,7457,1992,56129.0,2022-06-20,65,321.0,50.0,133.0,39.0,72.0,48.0,4,6,2,10,4,0,0,0,0,0,0,Female,22,Card,(+84) 840346464.0,663.0,32,Relationship,1,3,1,Post_Graduate,32313600000000000,0
14,7258,1992,88347.0,2022-07-03,32,1051.0,180.0,555.0,77.0,138.0,118.0,1,4,7,9,1,0,0,0,1,0,0,Male,21,Unknown,(+84) 312365607.0,2119.0,32,Relationship,0,2,0,Graduate,31190400000000000,1
15,8661,1989,33228.0,2023-01-23,28,23.0,4.0,31.0,7.0,4.0,5.0,1,2,0,3,7,0,0,0,0,0,0,Female,6,Online,(+84) 130963097.0,74.0,35,Relationship,1,3,1,Graduate,13564800000000000,0
16,5001,1991,4428.0,2022-10-05,0,17.0,6.0,12.0,2.0,4.0,321.0,0,25,0,0,1,0,0,0,0,0,0,Male,25,Online,(+84) 017748832.0,362.0,33,Relationship,1,3,1,Graduate,23068800000000000,0
17,8367,1985,78569.0,2023-02-19,14,559.0,81.0,622.0,207.0,175.0,95.0,1,4,6,4,1,0,0,0,0,0,0,Other,15,Cash,(+84) 529777630.0,1739.0,39,Relationship,0,2,0,Graduate,11232000000000000,0
18,5970,1990,63342.0,2021-10-16,48,919.0,23.0,118.0,13.0,10.0,21.0,3,8,3,5,6,0,0,0,0,0,0,Female,19,Cash,(+84) 196612739.0,1104.0,34,Relationship,1,3,1,Post_Graduate,53654400000000000,0
19,1205,1984,23763.0,2021-08-07,64,23.0,2.0,6.0,6.0,2.0,6.0,1,1,0,3,7,0,0,0,0,0,0,Male,5,Mobile,(+84) 104612189.0,45.0,40,Single,1,2,1,Graduate,59702400000000000,0
20,3681,1988,59111.0,2022-05-02,90,525.0,2.0,134.0,28.0,28.0,155.0,1,11,1,8,7,0,0,0,0,0,0,Male,21,Card,(+84) 169677888.0,872.0,36,Relationship,0,2,0,Graduate,36547200000000000,0
21,2456,1987,85696.0,2022-05-03,88,715.0,78.0,395.0,116.0,0.0,12.0,1,4,6,9,1,0,0,0,0,0,0,Other,20,Unknown,(+84) 679427491.0,1316.0,37,Single,0,1,0,Post_Graduate,36460800000000000,0
22,2859,1985,50785.0,2022-09-10,27,65.0,3.0,21.0,0.0,1.0,27.0,2,2,1,3,6,0,0,0,0,0,0,Male,8,Online,(+84) 108577578.0,117.0,39,Single,2,3,1,Graduate,25228800000000000,0
23,7380,1989,65748.0,2022-04-15,58,173.0,75.0,93.0,95.0,78.0,34.0,2,2,4,10,1,0,0,0,0,0,1,Male,18,Card,(+84) 591805774.0,548.0,35,Relationship,1,3,1,Graduate,38016000000000000,0
24,8262,1982,74068.0,2022-03-19,14,784.0,32.0,537.0,140.0,76.0,15.0,1,4,10,9,2,0,0,0,0,0,0,Male,24,Mobile,(+84) 648405849.0,1584.0,42,Relationship,0,2,0,Graduate,40348800000000000,0
25,8796,1992,49166.0,2022-06-13,17,225.0,4.0,25.0,7.0,0.0,110.0,2,5,3,3,6,0,0,0,0,0,0,Other,13,Online,(+84) 258793894.0,371.0,32,Single,1,2,1,Graduate,32918400000000000,0
26,1749,1990,61787.0,2022-07-06,71,622.0,75.0,414.0,78.0,48.0,85.0,1,8,4,6,5,0,0,0,0,0,0,Male,19,Online,(+84) 781450074.0,1322.0,34,Single,0,1,0,Post_Graduate,30931200000000000,0
27,8271,1986,61278.0,2023-01-04,87,112.0,5.0,28.0,2.0,6.0,15.0,2,3,1,4,6,0,0,0,0,0,0,Other,10,Unknown,(+84) 112914384.0,168.0,38,Relationship,1,3,1,Graduate,15206400000000000,0
28,4889,1982,36443.0,2022-02-03,9,66.0,2.0,46.0,4.0,3.0,20.0,4,3,1,3,8,0,0,0,0,0,0,Female,11,Online,(+84) 386925401.0,141.0,42,Relationship,2,4,1,Graduate,44150400000000000,0
29,2482,1985,35704.0,2023-01-03,54,31.0,11.0,12.0,2.0,11.0,30.0,3,2,0,4,4,0,0,0,0,0,0,Other,9,Unknown,(+84) 195778703.0,97.0,39,Relationship,2,4,1,Graduate,15292800000000000,0
30,3753,1990,73454.0,2023-03-01,95,983.0,75.0,351.0,56.0,14.0,175.0,1,2,4,6,5,1,1,0,0,0,0,Other,13,Cash,(+84) 563084138.0,1654.0,34,Single,0,1,0,Post_Graduate,10368000000000000,2
31,5793,1988,54058.0,2022-06-04,56,199.0,20.0,252.0,32.0,108.0,54.0,2,4,6,8,3,0,0,0,0,0,0,Female,20,Card,(+84) 127745945.0,665.0,36,Relationship,1,3,1,Graduate,33696000000000000,0
32,4150,1985,73455.0,2022-10-28,98,902.0,63.0,757.0,186.0,163.0,20.0,1,6,5,10,3,0,0,0,0,0,0,Male,22,Card,(+84) 957524885.0,2091.0,39,Single,0,1,0,Graduate,21081600000000000,0
33,8321,1989,42014.0,2021-08-17,56,245.0,17.0,108.0,4.0,15.0,50.0,6,7,1,6,8,0,0,0,0,0,0,Other,20,Card,(+84) 675023819.0,439.0,35,Relationship,1,3,1,Graduate,58838400000000000,0
34,8152,1988,45207.0,2021-11-10,64,204.0,2.0,10.0,0.0,0.0,2.0,5,3,1,6,6,0,0,0,0,0,0,Other,15,Cash,(+84) 893707987.0,218.0,36,Relationship,2,4,1,Post_Graduate,51494400000000000,0
35,6049,1986,86857.0,2021-09-12,96,900.0,104.0,838.0,133.0,102.0,40.0,1,5,6,10,2,0,0,0,0,0,0,Other,22,Unknown,(+84) 156044795.0,2117.0,38,Single,0,1,0,Post_Graduate,56592000000000000,0
36,6197,1986,60554.0,2022-08-09,8,589.0,9.0,76.0,110.0,15.0,15.0,2,8,4,9,6,0,0,0,0,0,0,Male,23,Cash,(+84) 548063928.0,814.0,38,Single,1,2,1,Post_Graduate,27993600000000000,0
37,5972,1985,49389.0,2022-08-29,55,41.0,2.0,19.0,2.0,1.0,3.0,1,2,0,3,7,0,0,0,0,0,0,Male,6,Cash,(+84) 964079881.0,68.0,39,Single,2,3,1,Post_Graduate,26265600000000000,0
38,7391,1992,50353.0,2023-06-08,72,142.0,17.0,153.0,67.0,31.0,35.0,1,4,4,6,3,0,0,0,0,0,0,Male,15,Card,(+84) 173561612.0,445.0,32,Relationship,0,2,0,Post_Graduate,1814400000000000,0
39,4911,1986,67267.0,2023-05-13,0,135.0,13.0,59.0,15.0,2.0,30.0,1,3,2,5,2,0,0,0,0,0,0,Female,11,Unknown,(+84) 877254188.0,254.0,38,Relationship,1,3,1,Graduate,4060800000000000,0
40,2770,1990,76005.0,2022-02-22,72,984.0,22.0,389.0,240.0,50.0,40.0,1,3,5,13,6,0,0,0,1,0,0,Male,22,Card,(+84) 346485422.0,1725.0,34,Relationship,0,2,0,Graduate,42508800000000000,1
41,3046,1994,69930.0,2022-05-26,21,253.0,100.0,827.0,219.0,70.0,196.0,1,4,5,12,3,0,0,0,0,0,0,Male,22,Mobile,(+84) 907516354.0,1665.0,30,Relationship,0,2,0,Graduate,34473600000000000,0
42,3374,1983,75154.0,2021-09-04,79,544.0,12.0,205.0,160.0,143.0,82.0,1,6,3,6,3,0,0,0,0,0,0,Female,16,Online,(+84) 106202567.0,1146.0,41,Single,1,2,1,Post_Graduate,57283200000000000,0
43,5517,1983,54803.0,2021-08-21,65,405.0,2.0,92.0,28.0,27.0,142.0,2,6,2,9,4,0,0,0,0,0,0,Female,19,Unknown,(+84) 791596678.0,696.0,41,Single,1,2,1,Graduate,58492800000000000,0
44,7834,1975,44551.0,2022-08-31,24,183.0,6.0,33.0,0.0,0.0,66.0,2,4,1,5,7,0,0,0,0,0,0,Female,12,Card,(+84) 832594309.0,288.0,49,Single,1,2,1,Post_Graduate,26092800000000000,0
45,7195,1983,45143.0,2022-08-26,74,203.0,7.0,74.0,11.0,5.0,14.0,3,6,1,5,7,0,0,0,0,0,0,Other,15,Cash,(+84) 323638679.0,314.0,41,Relationship,1,3,1,Post_Graduate,26524800000000000,0
46,3705,1994,27238.0,2022-04-20,39,38.0,2.0,17.0,0.0,0.0,3.0,3,3,0,3,9,0,0,0,0,0,0,Male,9,Mobile,(+84) 420025496.0,60.0,30,Single,2,3,1,Post_Graduate,37584000000000000,0
47,9577,1989,46053.0,2022-02-17,46,57.0,12.0,92.0,19.0,7.0,25.0,3,3,2,4,5,0,0,0,0,0,0,Female,12,Online,(+84) 229873238.0,212.0,35,Relationship,1,3,1,Graduate,42940800000000000,0
48,5042,1982,64504.0,2022-03-04,81,987.0,38.0,168.0,16.0,0.0,108.0,7,11,3,4,7,0,0,0,0,0,0,Female,25,Unknown,(+84) 485331433.0,1317.0,42,Relationship,3,5,1,Post_Graduate,41644800000000000,0
49,6665,1986,44512.0,2022-08-30,57,24.0,3.0,6.0,0.0,0.0,2.0,2,1,0,3,4,0,0,0,0,0,0,Female,6,Unknown,(+84) 328823383.0,35.0,38,Relationship,2,4,1,Graduate,26179200000000000,0
50,1946,1977,46098.0,2021-08-18,86,58.0,2.0,27.0,0.0,0.0,36.0,4,3,2,2,8,0,0,0,0,0,0,Female,11,Card,(+84) 407505202.0,123.0,47,Single,2,3,1,Post_Graduate,58752000000000000,0
51,5704,1990,31928.0,2023-03-28,5,34.0,6.0,24.0,4.0,2.0,5.0,2,3,0,4,7,0,0,0,0,0,0,Other,9,Cash,(+84) 418181807.0,75.0,34,Relationship,1,3,1,Graduate,8035200000000000,0
52,8564,1990,52845.0,2022-08-13,7,385.0,27.0,292.0,130.0,41.0,64.0,3,8,8,6,6,1,1,0,0,0,0,Other,25,Mobile,(+84) 687323998.0,939.0,34,Relationship,1,3,1,Graduate,27648000000000000,2
53,5030,1982,34176.0,2023-05-12,12,6.0,9.0,24.0,19.0,14.0,20.0,4,3,0,4,6,0,0,0,0,0,0,Male,11,Mobile,(+84) 653698828.0,92.0,42,Single,1,2,1,Graduate,4147200000000000,0
54,2725,1989,81929.0,2021-09-29,60,1487.0,57.0,278.0,49.0,0.0,185.0,2,4,4,10,6,1,0,0,0,0,0,Other,20,Card,(+84) 755996248.0,2056.0,35,Relationship,1,3,1,Post_Graduate,55123200000000000,1
55,5076,1982,77437.0,2022-11-26,70,561.0,23.0,442.0,29.0,44.0,29.0,1,4,5,13,1,0,0,0,0,0,0,Male,23,Card,(+84) 173004033.0,1128.0,42,Relationship,0,2,0,Graduate,18576000000000000,0
56,6724,1982,60200.0,2022-01-02,3,503.0,21.0,132.0,0.0,6.0,26.0,6,6,2,11,6,0,0,0,0,0,0,Female,25,Unknown,(+84) 607163042.0,688.0,42,Single,1,2,1,Post_Graduate,46915200000000000,0
57,8610,1983,69702.0,2022-02-19,8,665.0,11.0,240.0,50.0,19.0,57.0,2,7,7,10,4,0,0,0,0,0,0,Male,26,Card,(+84) 583433852.0,1042.0,41,Relationship,1,3,1,Post_Graduate,42768000000000000,0
58,2983,1990,63998.0,2022-12-20,42,177.0,31.0,818.0,0.0,33.0,112.0,1,7,6,11,4,0,0,0,0,0,0,Female,25,Mobile,(+84) 928903811.0,1171.0,34,Single,0,1,0,Post_Graduate,16502400000000000,0
59,3929,1983,19510.0,2022-09-04,63,10.0,2.0,7.0,3.0,4.0,7.0,2,1,0,3,7,0,0,0,0,0,0,Female,6,Mobile,(+84) 349208753.0,33.0,41,Relationship,2,4,1,Post_Graduate,25747200000000000,0
60,6166,1990,51148.0,2022-02-18,38,236.0,8.0,45.0,8.0,9.0,12.0,4,5,1,6,6,0,0,0,0,0,0,Female,16,Online,(+84) 000360756.0,318.0,34,Relationship,2,4,1,Graduate,42854400000000000,0
61,9550,1988,65968.0,2023-05-12,12,377.0,11.0,83.0,19.0,4.0,4.0,2,5,4,7,3,0,0,0,0,0,0,Other,18,Unknown,(+84) 035183041.0,498.0,36,Relationship,1,3,1,Post_Graduate,4147200000000000,0
62,2246,1984,55954.0,2023-03-03,63,448.0,2.0,28.0,0.0,0.0,43.0,3,8,2,6,7,0,0,0,0,0,0,Male,19,Mobile,(+84) 293302328.0,521.0,40,Relationship,1,3,1,Post_Graduate,10195200000000000,0
63,7241,1986,39763.0,2022-08-04,9,81.0,3.0,60.0,4.0,6.0,16.0,2,5,1,2,9,0,0,0,0,0,0,Other,10,Card,(+84) 251317238.0,170.0,38,Single,1,2,1,Post_Graduate,28425600000000000,0
64,9980,1992,22010.0,2022-06-30,51,12.0,4.0,9.0,3.0,0.0,8.0,2,2,0,3,8,0,0,0,0,0,0,Male,7,Online,(+84) 647125554.0,36.0,32,Relationship,1,3,1,Graduate,31449600000000000,0
65,5865,1987,9548.0,2021-08-08,31,1.0,3.0,3.0,10.0,6.0,9.0,2,1,0,3,8,0,0,0,0,0,0,Male,6,Card,(+84) 218826089.0,32.0,37,Single,1,2,1,Under_Graduate,59616000000000000,0
66,8125,1983,55517.0,2021-09-27,53,484.0,2.0,108.0,0.0,6.0,36.0,5,11,1,6,9,0,0,0,0,0,0,Other,23,Mobile,(+84) 641979333.0,636.0,41,Relationship,2,4,1,Post_Graduate,55296000000000000,0
67,4193,1986,56129.0,2022-06-20,65,321.0,50.0,133.0,39.0,72.0,48.0,4,6,2,10,4,0,0,0,0,0,0,Male,22,Mobile,(+84) 681197994.0,663.0,38,Relationship,1,3,1,Post_Graduate,32313600000000000,0
68,4630,1989,26150.0,2022-03-11,61,6.0,3.0,13.0,3.0,5.0,1.0,1,1,0,3,7,0,0,0,0,0,0,Female,5,Mobile,(+84) 172907799.0,31.0,35,Single,3,4,1,Graduate,41040000000000000,0
69,5962,1985,75027.0,2022-01-09,74,926.0,66.0,179.0,133.0,12.0,77.0,2,9,4,6,5,0,0,0,0,0,0,Male,21,Unknown,(+84) 097309705.0,1393.0,39,Relationship,1,3,1,Graduate,46310400000000000,0
70,5890,1988,26518.0,2022-04-08,33,21.0,3.0,28.0,3.0,3.0,2.0,3,2,0,3,8,0,0,0,0,0,0,Male,8,Cash,(+84) 884783003.0,60.0,36,Single,2,3,1,Post_Graduate,38620800000000000,0
71,6965,1987,34487.0,2021-09-06,94,20.0,20.0,33.0,24.0,1.0,8.0,3,3,0,3,9,0,0,0,0,0,0,Female,9,Online,(+84) 676331776.0,106.0,37,Single,2,3,1,Post_Graduate,57110400000000000,0
72,2398,1983,74293.0,2023-05-04,66,376.0,154.0,335.0,93.0,91.0,81.0,1,5,4,6,2,0,0,0,0,0,0,Other,16,Online,(+84) 942603628.0,1130.0,41,Single,0,1,0,Graduate,4838400000000000,0
73,6991,1994,45143.0,2022-08-26,74,203.0,7.0,74.0,11.0,5.0,14.0,3,6,1,5,7,0,0,0,0,0,0,Male,15,Card,(+84) 418943807.0,314.0,30,Relationship,1,3,1,Post_Graduate,26524800000000000,0
74,4881,1989,83151.0,2022-02-10,80,969.0,149.0,842.0,137.0,42.0,210.0,1,5,7,10,2,1,1,0,1,0,0,Male,23,Mobile,(+84) 054786706.0,2349.0,35,Relationship,0,2,0,Post_Graduate,43545600000000000,3
75,3075,1990,19419.0,2021-11-10,76,3.0,16.0,28.0,16.0,3.0,7.0,4,4,0,3,9,0,0,0,0,0,0,Female,11,Online,(+84) 743667232.0,73.0,34,Relationship,1,3,1,Graduate,51494400000000000,0
76,5567,1982,39922.0,2022-02-14,30,30.0,14.0,59.0,19.0,1.0,36.0,2,3,0,4,8,0,0,0,0,0,0,Male,9,Unknown,(+84) 029118829.0,159.0,42,Relationship,1,3,1,Graduate,43200000000000000,0
77,6145,1999,16653.0,2023-04-18,10,6.0,9.0,31.0,15.0,4.0,7.0,3,2,1,3,6,0,0,0,0,0,0,Female,9,Online,(+84) 538630877.0,72.0,25,Single,1,2,1,Post_Graduate,6220800000000000,0
78,8350,1980,59235.0,2022-01-12,4,449.0,42.0,469.0,80.0,0.0,91.0,3,11,2,12,7,0,0,0,0,0,0,Male,28,Mobile,(+84) 461865379.0,1131.0,44,Single,1,2,1,Post_Graduate,46051200000000000,0
79,8016,1994,67087.0,2022-12-17,40,330.0,37.0,222.0,130.0,35.0,43.0,2,7,5,8,4,0,0,0,0,0,0,Male,22,Cash,(+84) 574293361.0,797.0,30,Relationship,1,3,1,Post_Graduate,16761600000000000,0
80,2829,1994,29819.0,2022-10-24,77,10.0,3.0,24.0,2.0,1.0,2.0,3,3,0,3,6,0,0,0,0,0,0,Other,9,Card,(+84) 041807261.0,42.0,30,Single,1,2,1,Graduate,21427200000000000,0
81,8957,1981,61467.0,2021-12-09,69,411.0,18.0,114.0,0.0,5.0,49.0,3,5,2,10,5,0,0,0,0,0,0,Female,20,Cash,(+84) 780632998.0,597.0,43,Relationship,2,4,1,Post_Graduate,48988800000000000,0
82,8170,1989,70777.0,2023-02-25,80,555.0,37.0,113.0,0.0,7.0,78.0,3,5,3,12,3,0,0,0,0,0,0,Male,23,Mobile,(+84) 340410391.0,790.0,35,Relationship,1,3,1,Post_Graduate,10713600000000000,0
83,8493,1984,23976.0,2022-12-27,68,15.0,3.0,21.0,2.0,3.0,25.0,3,3,1,3,7,0,0,0,0,0,0,Male,10,Mobile,(+84) 220954993.0,69.0,40,Relationship,1,3,1,Graduate,15897600000000000,0
84,6661,1984,57183.0,2022-03-19,51,465.0,7.0,64.0,7.0,0.0,70.0,8,9,1,7,8,0,0,0,0,0,0,Female,25,Unknown,(+84) 844278107.0,613.0,40,Relationship,2,4,1,Post_Graduate,40348800000000000,0
85,3008,1987,48195.0,2023-01-21,53,107.0,29.0,68.0,52.0,7.0,5.0,6,4,2,5,6,0,0,0,0,0,0,Male,17,Mobile,(+84) 918586772.0,268.0,37,Relationship,2,4,1,Graduate,13737600000000000,0
86,7155,1989,75345.0,2022-02-02,16,919.0,59.0,842.0,99.0,38.0,133.0,1,5,8,6,3,0,0,0,1,0,0,Other,20,Card,(+84) 896084313.0,2090.0,35,Single,0,1,0,Post_Graduate,44236800000000000,1
87,6952,1987,70123.0,2022-09-28,27,1309.0,2.0,396.0,23.0,0.0,0.0,1,5,7,4,3,0,0,1,0,1,0,Other,17,Mobile,(+84) 408101041.0,1730.0,37,Relationship,0,2,0,Post_Graduate,23673600000000000,2
88,1332,1993,39228.0,2022-05-10,1,8.0,3.0,6.0,0.0,3.0,3.0,1,0,0,3,4,0,0,0,0,0,0,Other,4,Card,(+84) 138067949.0,23.0,31,Single,0,1,0,Post_Graduate,35856000000000000,0
89,5277,1989,29236.0,2022-10-08,30,38.0,6.0,24.0,16.0,9.0,9.0,2,4,0,3,9,0,0,0,0,0,0,Female,9,Unknown,(+84) 518349162.0,102.0,35,Single,1,2,1,Graduate,22809600000000000,0
90,3673,1981,80739.0,2022-05-23,92,675.0,94.0,736.0,39.0,0.0,92.0,1,3,11,9,1,0,0,0,0,0,0,Male,24,Card,(+84) 081747923.0,1636.0,43,Relationship,0,2,0,Post_Graduate,34732800000000000,0
91,1575,1990,55158.0,2021-07-30,72,294.0,2.0,87.0,4.0,11.0,23.0,4,7,2,5,7,0,0,0,0,0,0,Female,18,Mobile,(+84) 399949289.0,421.0,34,Relationship,2,4,1,Post_Graduate,60393600000000000,0
92,2992,1988,53858.0,2021-11-09,50,408.0,55.0,221.0,58.0,150.0,26.0,4,4,3,6,4,0,0,0,0,0,0,Female,17,Unknown,(+84) 069468896.0,918.0,36,Relationship,1,3,1,Graduate,51580800000000000,0
93,5800,1990,78093.0,2022-12-11,53,369.0,34.0,639.0,13.0,43.0,10.0,1,4,7,5,1,0,0,0,0,0,0,Other,17,Cash,(+84) 536522830.0,1108.0,34,Relationship,0,2,0,Post_Graduate,17280000000000000,0
94,6106,1989,56939.0,2022-09-18,19,257.0,36.0,103.0,90.0,29.0,49.0,2,3,3,10,3,0,0,0,0,0,0,Other,18,Cash,(+84) 542630378.0,564.0,35,Relationship,1,3,1,Graduate,24537600000000000,0
95,6631,1986,55375.0,2022-10-17,3,43.0,13.0,57.0,10.0,28.0,14.0,1,1,1,6,2,0,0,0,0,0,0,Other,9,Online,(+84) 867226034.0,165.0,38,Relationship,1,3,1,Graduate,22032000000000000,0
96,5808,1990,51111.0,2023-06-19,83,23.0,2.0,19.0,6.0,5.0,3.0,2,2,0,3,6,0,0,0,0,0,0,Female,7,Cash,(+84) 372144779.0,58.0,34,Relationship,2,4,1,Post_Graduate,864000000000000,0
97,6064,1993,67023.0,2023-03-04,93,445.0,46.0,382.0,11.0,8.0,17.0,1,3,7,13,2,0,0,0,0,0,1,Female,24,Card,(+84) 558103753.0,909.0,31,Relationship,0,2,0,Graduate,10108800000000000,0
98,3483,1988,67506.0,2023-01-02,73,91.0,40.0,67.0,33.0,36.0,67.0,1,4,1,6,3,0,0,0,0,0,0,Other,12,Unknown,(+84) 216187881.0,334.0,36,Single,1,2,1,Post_Graduate,15379200000000000,0
99,3556,1985,89891.0,2022-04-15,17,413.0,24.0,132.0,59.0,28.0,183.0,1,11,6,8,4,0,0,0,0,0,0,Female,26,Cash,(+84) 935976220.0,839.0,39,Relationship,0,2,0,Graduate,38016000000000000,0
101,1790,1983,46102.0,2023-03-10,3,15.0,2.0,1.0,0.0,0.0,1.0,1,1,0,2,7,0,0,0,0,0,0,Female,4,Mobile,(+84) 018140915.0,19.0,41,Single,3,4,1,Graduate,9590400000000000,0
102,1207,1990,14188.0,2022-02-28,40,3.0,9.0,11.0,16.0,12.0,27.0,1,2,0,4,6,0,0,0,0,0,0,Female,7,Mobile,(+84) 580760181.0,78.0,34,Relationship,0,2,0,Under_Graduate,41990400000000000,0
103,3098,1992,62972.0,2021-08-03,39,314.0,17.0,47.0,20.0,0.0,192.0,2,7,4,3,6,0,0,0,0,0,0,Other,16,Unknown,(+84) 790243795.0,590.0,32,Relationship,1,3,1,Post_Graduate,60048000000000000,0
104,8665,1983,61014.0,2021-08-11,17,270.0,131.0,495.0,182.0,43.0,29.0,4,9,3,4,7,0,0,0,0,0,0,Male,20,Cash,(+84) 741178015.0,1150.0,41,Relationship,1,3,1,Graduate,59356800000000000,0
105,1848,1988,46904.0,2021-11-03,20,154.0,6.0,56.0,0.0,9.0,31.0,4,5,1,4,8,0,0,0,0,0,0,Other,14,Card,(+84) 152749980.0,256.0,36,Single,2,3,1,Graduate,52099200000000000,0
106,7897,1991,27100.0,2022-04-05,64,13.0,2.0,13.0,2.0,0.0,10.0,1,1,0,3,7,0,0,0,0,0,0,Male,5,Unknown,(+84) 924671585.0,40.0,33,Relationship,1,3,1,Post_Graduate,38880000000000000,0
107,3572,1998,72190.0,2022-02-13,79,598.0,168.0,597.0,172.0,166.0,249.0,1,5,6,4,3,0,0,0,0,0,0,Female,16,Mobile,(+84) 221089135.0,1950.0,26,Relationship,0,2,0,Graduate,43286400000000000,0
108,9042,1999,45204.0,2023-04-11,93,31.0,13.0,25.0,29.0,1.0,18.0,1,1,1,4,3,0,0,0,0,0,0,Female,7,Mobile,(+84) 374135484.0,117.0,25,Relationship,1,3,1,Post_Graduate,6825600000000000,0
109,3791,1989,58350.0,2022-01-04,5,494.0,28.0,206.0,116.0,80.0,80.0,4,8,3,12,6,0,0,0,0,0,0,Female,27,Cash,(+84) 879485512.0,1004.0,35,Single,1,2,1,Graduate,46742400000000000,0
110,1719,1985,38590.0,2022-05-15,65,4.0,3.0,8.0,4.0,3.0,3.0,1,1,0,2,8,0,0,0,0,0,0,Other,4,Unknown,(+84) 798041243.0,25.0,39,Relationship,1,3,1,Graduate,35424000000000000,0
111,5427,1989,80336.0,2022-09-09,12,210.0,21.0,456.0,160.0,142.0,66.0,1,2,9,13,1,0,0,0,0,0,0,Other,25,Unknown,(+84) 657464450.0,1055.0,35,Relationship,0,2,0,Post_Graduate,25315200000000000,0
112,2470,1988,105471.0,2022-01-21,36,1010.0,183.0,104.0,202.0,21.0,207.0,0,9,8,13,3,0,0,0,1,0,0,Other,30,Online,(+84) 077408211.0,1727.0,36,Relationship,0,2,0,Graduate,45273600000000000,1
